room_id,host_id,room_type,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price
19067635,46064752,Entire home/apt,Santa Maria Maior,3,4.5,4,1,64
19068194,46064752,Entire home/apt,Santa Maria Maior,1,0,4,1,50
19068389,46064752,Entire home/apt,Santa Maria Maior,1,0,3,0,64
19071455,73546613,Private room,Areeiro,0,0,2,1,18
19071822,132860958,Entire home/apt,Santa Clara,0,0,4,2,80
19075690,3332364,Entire home/apt,Arroios,0,0,4,2,219
19076488,67921258,Entire home/apt,Carnide,0,0,3,0,35
19077512,6392918,Entire home/apt,Santa Maria Maior,0,0,2,1,55
19077686,133207373,Entire home/apt,Santa Maria Maior,1,0,6,3,104
19078684,6340750,Private room,Penha de FranÌ¤a,1,0,1,1,18
19078804,81934885,Entire home/apt,MisericÌ_rdia,0,0,5,2,115
19079169,2009620,Private room,Estrela,3,5,2,1,35
19081519,132173101,Entire home/apt,Santo AntÌ_nio,0,0,3,1,75
19081921,132173101,Entire home/apt,Santo AntÌ_nio,0,0,3,1,75
19082543,11470182,Private room,Santa Maria Maior,1,0,2,1,40
19082913,133255748,Entire home/apt,SÌ£o Vicente,0,0,4,1,58
19083397,133259740,Entire home/apt,SÌ£o Vicente,0,0,4,2,114
19083404,21449758,Entire home/apt,SÌ£o Vicente,0,0,4,2,80
19083498,15882673,Entire home/apt,Santa Maria Maior,0,0,2,0,45
19083929,133070061,Private room,Avenidas Novas,0,0,1,4,29
19085876,1848304,Entire home/apt,MisericÌ_rdia,0,0,2,1,48
19086148,17368354,Private room,Santo AntÌ_nio,1,0,1,1,23
19090227,3665015,Entire home/apt,Arroios,0,0,2,1,46
19090885,132361507,Entire home/apt,SÌ£o Vicente,0,0,4,2,114
19094589,133373223,Private room,Arroios,3,4.5,4,1,35
19094685,133376302,Private room,Santo AntÌ_nio,0,0,1,1,13
19095346,133373223,Private room,Arroios,4,5,2,1,35
19096101,133373223,Private room,Arroios,2,0,4,1,35
19096568,133395712,Entire home/apt,Santa Maria Maior,0,0,6,3,173
19096881,69923710,Entire home/apt,Campo de Ourique,0,0,2,1,49
19096889,133373223,Private room,Arroios,1,0,4,1,46
19097165,79783395,Entire home/apt,Arroios,1,0,3,2,80
19098643,133404367,Entire home/apt,Campo de Ourique,0,0,2,1,57
19099906,57073932,Private room,Estrela,1,0,4,2,58
19100102,31339511,Private room,Santo AntÌ_nio,0,0,2,1,80
19100313,66214292,Entire home/apt,Santa Maria Maior,0,0,4,1,122
19100382,12878313,Entire home/apt,Arroios,0,0,5,2,150
19100839,74171605,Entire home/apt,Arroios,2,0,6,2,104
19107387,7218434,Private room,MisericÌ_rdia,0,0,2,1,40
19107582,91218792,Entire home/apt,Areeiro,1,0,3,1,46
19107592,13565120,Private room,Ajuda,0,0,1,1,18
19107740,132295361,Private room,Avenidas Novas,0,0,1,1,18
19108065,46807062,Entire home/apt,MisericÌ_rdia,0,0,11,4,202
19108813,1020566,Entire home/apt,MisericÌ_rdia,0,0,6,2,93
19109537,4922515,Entire home/apt,Campo de Ourique,1,0,5,2,49
19109935,7146174,Entire home/apt,Campolide,0,0,6,2,133
19110646,35146152,Entire home/apt,SÌ£o Vicente,0,0,4,2,75
19110929,56955702,Entire home/apt,Beato,0,0,3,1,32
19111538,10261210,Entire home/apt,Avenidas Novas,0,0,6,2,173
19112159,16453879,Entire home/apt,Santa Maria Maior,2,0,4,2,58
19112254,133542770,Entire home/apt,Avenidas Novas,0,0,6,2,150
19112422,5222322,Entire home/apt,AlcÌ¢ntara,0,0,6,3,93
19112612,3953109,Entire home/apt,MisericÌ_rdia,0,0,2,1,60
19113563,3953109,Entire home/apt,MisericÌ_rdia,0,0,2,1,60
19113686,17263208,Entire home/apt,MisericÌ_rdia,0,0,6,3,167
19113703,129744959,Entire home/apt,Benfica,0,0,6,3,357
19114347,3953109,Entire home/apt,MisericÌ_rdia,0,0,2,1,60
19114414,17263208,Entire home/apt,MisericÌ_rdia,0,0,5,2,98
19116204,35767723,Entire home/apt,Santa Maria Maior,0,0,8,3,138
19116488,3539938,Private room,Penha de FranÌ¤a,1,0,2,1,35
19117504,3953109,Entire home/apt,MisericÌ_rdia,0,0,2,1,78
19119700,49556010,Entire home/apt,SÌ£o Vicente,0,0,4,2,87
19119928,67929784,Entire home/apt,Arroios,0,0,7,3,138
19119986,104239978,Entire home/apt,Parque das NaÌ¤Ìµes,0,0,7,3,194
19120022,132445815,Entire home/apt,Arroios,0,0,8,6,138
19120151,46807062,Private room,MisericÌ_rdia,0,0,3,1,52
19120485,17733765,Private room,Santo AntÌ_nio,0,0,2,1,64
19120741,46807062,Private room,MisericÌ_rdia,0,0,3,1,58
19121019,46807062,Private room,MisericÌ_rdia,1,0,2,1,46
19121316,46807062,Private room,MisericÌ_rdia,1,0,1,1,29
19128218,22605312,Entire home/apt,Santa Maria Maior,0,0,2,0,80
19128271,101274071,Entire home/apt,Santo AntÌ_nio,1,0,7,2,87
19128517,133584968,Entire home/apt,MisericÌ_rdia,0,0,3,2,115
19128741,21759152,Private room,Santo AntÌ_nio,0,0,2,1,46
19128994,18488208,Private room,Penha de FranÌ¤a,1,0,2,1,15
19130047,22605312,Entire home/apt,Santa Maria Maior,0,0,2,0,80
19130272,14317794,Entire home/apt,MisericÌ_rdia,0,0,4,2,156
19130407,22605312,Entire home/apt,Santa Maria Maior,0,0,4,0,80
19130498,21211063,Private room,Alvalade,0,0,1,1,32
19130642,132979089,Private room,Penha de FranÌ¤a,0,0,2,1,29
19131277,49717065,Entire home/apt,Estrela,1,0,4,1,58
19131799,122012813,Entire home/apt,SÌ£o Vicente,0,0,4,3,148
19131800,122012813,Entire home/apt,SÌ£o Vicente,0,0,6,3,182
19131805,122012813,Entire home/apt,SÌ£o Vicente,0,0,2,0,83
19131806,122012813,Entire home/apt,Arroios,0,0,4,4,148
19131809,122012813,Entire home/apt,Arroios,0,0,6,4,182
19131918,133563268,Entire home/apt,Campo de Ourique,0,0,4,1,80
19132290,67648423,Entire home/apt,SÌ£o Vicente,0,0,6,3,90
19132439,1695029,Entire home/apt,Penha de FranÌ¤a,0,0,4,2,93
19135400,8046399,Entire home/apt,Estrela,0,0,2,0,45
19137371,22605312,Entire home/apt,Santa Maria Maior,0,0,4,1,80
19138270,105196079,Entire home/apt,Ajuda,0,0,2,1,32
19139410,133779336,Entire home/apt,Santa Maria Maior,0,0,6,2,219
19139744,131077575,Private room,Avenidas Novas,0,0,2,1,23
19140465,133796231,Shared room,Marvila,0,0,2,1,22
19142314,27998030,Entire home/apt,Santa Maria Maior,0,0,5,2,70
